date,media_source,pred_14,pred_28,pred_56,pred_63,pred_70,pred_77,pred_84,pred_91,pred_98,pred_100,pred_105,pred_112,pred_119,pred_126,pred_133,pred_140,pred_147,roas_d100_error,pred_payback,pb_window_error
20240129,All,0.32697927804114807,0.4546856883778315,0.6075834219150866,0.6316347507861155,0.6556860796571444,0.6797374085281733,0.7037887373992021,0.727840066270231,0.7518913951412599,0.7587632033901254,0.7759427240122888,0.7999940528833177,0.8240453817543466,0.8480967106253755,0.8721480394964044,0.8961993683674333,0.9202506972384622,0.1306344446070315,210,36.0
20240128,All,0.26211350829322405,0.3644856691390552,0.48705172772118077,0.5063317818801668,0.5256118360391528,0.5448918901981389,0.5641719443571249,0.583451998516111,0.602732052675097,0.6082406395776645,0.6220121068340831,0.6412921609930692,0.6605722151520552,0.6798522693110413,0.6991323234700273,0.7184123776290133,0.7376924317879994,0.13004024135059394,279,47.0
20240127,All,0.27690011387017016,0.3850473939547762,0.5145277698385011,0.5348954694157163,0.5552631689929315,0.5756308685701466,0.5959985681473617,0.6163662677245769,0.6367339673017921,0.6425533100381392,0.6571016668790072,0.6774693664562224,0.6978370660334375,0.7182047656106527,0.7385724651878678,0.758940164765083,0.7793078643422982,0.13017569413593238,263,45.0
20240126,All,0.2523487687612785,0.3509071716192394,0.4689071716059691,0.48746896935669065,0.5060307671074122,0.5245925648581338,0.5431543626088553,0.5617161603595768,0.5802779581102984,0.5855813288962187,0.5988397558610199,0.6174015536117414,0.635963351362463,0.6545251491131845,0.673086946863906,0.6916487446146276,0.7102105423653491,0.12995079139801194,289,49.0
20240125,All,0.298661533398506,0.4153080455703657,0.5549642091809729,0.5769325944680347,0.5989009797550965,0.6208693650421583,0.6428377503292201,0.6648061356162819,0.6867745209033437,0.6930512024139327,0.7087429061904054,0.7307112914774672,0.752679676764529,0.7746480620515908,0.7966164473386526,0.8185848326257144,0.8405532179127762,0.1303750397445437,240,41.0
20240124,All,0.2999169999097561,0.417053852394342,0.5572970806815,0.579357813221053,0.6014185457606059,0.6234792783001588,0.6455400108397118,0.6676007433792647,0.6896614759188177,0.69596454235869,0.7117222084583706,0.7337829409979235,0.7558436735374765,0.7779044060770295,0.7999651386165824,0.8220258711561353,0.8440866036956882,0.13038654045273282,238,40.0
20240123,All,0.25630000000000003,0.35640161244888735,0.476249235027181,0.49510167003949684,0.5139541050518127,0.5328065400641285,0.5516589750764445,0.5705114100887603,0.5893638451010761,0.594750255104595,0.608216280113392,0.6270687151257078,0.6459211501380238,0.6647735851503396,0.6836260201626554,0.7024784551749713,0.7213308901872871,0.12998698667447453,285,48.0
20240122,All,0.2523,0.35083935552420703,0.46881655090658503,0.48737476141617264,0.5059329719257601,0.5244911824353478,0.5430493929449353,0.5616076034545229,0.5801658139641104,0.5854681598239926,0.598724024473698,0.6172822349832855,0.635840445492873,0.6543986560024606,0.6729568665120481,0.6915150770216357,0.7100732875312232,0.08825797651795589,289,33.0
20240121,All,0.2999,0.41703021292790204,0.5572654919416761,0.5793249740337304,0.6013844561257847,0.623443938217839,0.6455034203098934,0.6675629024019478,0.6896223844940021,0.6959250936631605,0.7116818665860565,0.7337413486781108,0.7558008307701651,0.7778603128622195,0.7999197949542738,0.8219792770463282,0.8440387591383826,0.08855412051563603,238,27.0
20240120,All,0.2267,0.3152409112062534,0.4212473725347715,0.43792254622689797,0.4545977199190244,0.4712728936111508,0.4879480673032773,0.5046232409954038,0.5212984146875301,0.5260627500281377,0.5379735883796566,0.554648762071783,0.5713239357639095,0.587999109456036,0.6046742831481624,0.6213494568402889,0.6380246305324153,0.08809870579651446,317,36.0
